path,class_id,split,class
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/sitting10.mp4",0,train,Grazing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/IMG_5441.MOV,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Running/011 (run side).mp4",1,train,Running
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Running/017 (run side).mp4",1,train,Running
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Running/002(run side).mp4",1,train,Running
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Running/031 (run side).mp4",1,train,Running
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Walking/004(walk side).mp4,4,train,Walking
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/047(sit side).mp4",2,train,Sitting
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/006(sit side).MOV",2,train,Sitting
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/IMG_5440.MOV,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Walking/030 (walk side).mp4,4,train,Walking
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/002(stand front).mp4,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/stand to sit transitionnn.mp4,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/023(sit front).MOV",2,train,Sitting
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/33(front).mp4",0,train,Grazing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/008(stand front).MOV,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Walking/011(walk front).MOV,4,train,Walking
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/016(stand front).MOV,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/sheep watering 2.MOV,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/002(sit front).mp4",2,train,Sitting
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Walking/004(walk front).MOV,4,train,Walking
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Running/012 (run side).mp4",1,train,Running
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/032 (stand side).mp4,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/003(front).MOV",0,train,Grazing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/wateringg.MOV,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/027(front).MOV",0,train,Grazing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/007(stand front).MOV,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/007(stand side).MOV,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/030(sit side).mp4",2,train,Sitting
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Walking/002(walk side).mp4,4,train,Walking
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/43(side).mp4",0,train,Grazing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/015(sit front).MOV",2,train,Sitting
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/020(sit side).MOV",2,train,Sitting
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Running/004(run front).MOV",1,train,Running
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/027(sit front).MOV",2,train,Sitting
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/itching 01.MOV,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/004(sit front).MOV",2,train,Sitting
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/42(front).mp4",0,train,Grazing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/042(sit side).mp4",2,train,Sitting
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/sheep watering 6.mp4,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/017(stand front).MOV,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/44(front).mp4",0,train,Grazing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Running/030(run front).MOV",1,train,Running
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/030 (stand side).mp4,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/002(stand side).mp4,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Running/017(run front).MOV",1,train,Running
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/sheep watering 5.mp4,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/031(sit side).mp4",2,train,Sitting
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Walking/031 (walk side).mp4,4,train,Walking
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/39(front).mp4",0,train,Grazing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/006(stand side).MOV,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/IMG_5320.MOV",2,train,Sitting
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/040 (stand front).mp4,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/016(side front).MOV",2,train,Sitting
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/019)stand side).mp4,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/009(side).MOV",0,train,Grazing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/006(side).MOV",0,train,Grazing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/022(stand side).mp4,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Walking/010 (walk side).mp4,4,train,Walking
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/42(side).mp4",0,train,Grazing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/037(sit front).mp4",2,train,Sitting
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/50(side).mp4",0,train,Grazing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/VID_20210813_115955.mp4",2,train,Sitting
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/48(side).mp4",0,train,Grazing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Running/024 (run side).mp4",1,train,Running
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/039 (stand side).mp4,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/035 (stand side).mp4,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/028(stand front).MOV,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/sitting7.mp4",0,train,Grazing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/024(stand side).MOV,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Walking/028 (walk side).mp4,4,train,Walking
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/043(sit front).mp4",2,train,Sitting
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/021(stand front).MOV,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/50(front).mp4",0,train,Grazing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Running/021 (run side).mp4",1,train,Running
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/52(side).mp4",0,train,Grazing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/007(sit side).MOV",2,train,Sitting
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Running/016(run front).MOV",1,train,Running
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/002(side).mp4",0,train,Grazing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/standing to sitting transition from front.mp4,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Running/020 (run side).mp4",1,train,Running
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/034 (stand front).mp4,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/46(side).mp4",0,train,Grazing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Running/016 (run side).mp4",1,train,Running
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/034(sit side).mp4",2,train,Sitting
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/041(sit side).mp4",2,train,Sitting
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/014(side).MOV",0,train,Grazing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/47(front).mp4",0,train,Grazing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/037(sit side).mp4",2,train,Sitting
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/VID_20210815_133000.mp4,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/040 (stand side).mp4,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/012(stand front).MOV,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/006(sit front).MOV",2,train,Sitting
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Walking/019 (walk side).mp4,4,train,Walking
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/037 (stand side).mp4,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/029(sit front).mp4",2,train,Sitting
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/010(sit front).MOV",2,train,Sitting
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/019(sit front).MOV",2,train,Sitting
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Running/033 (run side).mp4",1,train,Running
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/028 (Stand side).mp4,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/023(stand front).MOV,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/VID_20210815_133041.mp4,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/standing to sitting animation.MOV,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/38(side).mp4",0,train,Grazing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Walking/024 (walk side).mp4,4,train,Walking
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Running/008(run front).MOV",1,train,Running
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/VID_20210815_133251.mp4,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/018(sit side).MOV",2,train,Sitting
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/012(sit side).MOV",2,train,Sitting
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/002(front).MOV",0,train,Grazing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/sheep watering 3.mp4,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Walking/005 (walk side).mp4,4,train,Walking
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/035(sit side).mp4",2,train,Sitting
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Running/IMG_5483(0).MOV",1,train,Running
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/043 (stand side).mp4,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/IMG_5456.MOV,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/013(stand side).MOV,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/036 (Stand front).mp4,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Running/032 (run side).mp4",1,train,Running
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/sitting.mp4",0,train,Grazing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Running/014(run front).MOV",1,train,Running
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/027(sit side).mp4",2,train,Sitting
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/004(sit side).MOV",2,train,Sitting
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/005(stand front).MOV,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/044(sit front).mp4",2,train,Sitting
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Walking/013 (walk side).mp4,4,train,Walking
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/000000041(sit side).mp4",2,train,Sitting
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/027(stand front).MOV,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/VID_20210815_135400.mp4,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Running/001(run side).mp4",1,train,Running
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/019(side).MOV",0,train,Grazing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/051 (sit side).mp4",2,train,Sitting
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Walking/012 (walk side).mp4,4,train,Walking
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Walking/006 (walk side).mp4,4,train,Walking
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/standing rotating.MOV,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/010(stand side).MOV,3,train,Standing
